date,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD
2025-06-11,0.00920137613775962,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-12,0.004752335312793754,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-13,0.012233931422209831,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-16,-0.006913315270792975,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-17,0.011388872120804106,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-18,-0.0005033969923727178,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-20,0.0009472338066591312,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-23,-0.014468664498413553,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-24,-0.00966935955789321,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-25,0.001188636066738713,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-26,0.002327492014715382,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-27,-0.004368247475661935,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-06-30,0.003867978758941604,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-01,0.004204431334454561,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-02,0.005066638872645246,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-03,-0.001201441864429853,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-07,0.0007214353433468545,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-08,-0.0010994605500150635,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-09,0.0041044708065404835,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-10,-0.0025443296028408112,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-11,0.004039082907257985,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-14,-0.004726237373833086,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-15,-0.0028904696216851987,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-16,0.0009987028120509223,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-17,0.004029216118053558,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-18,-8.977547890234305e-05,0.0,5.0,0.2,0.2,0.2,0.2,0.2
2025-07-21,0.0028907207890394027,0.0,5.0,0.2,0.2,0.2,0.2,0.2
