date,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD
2025-06-11,-0.002747660318286549,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-12,0.0038151330716758025,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-13,-0.011360668590102208,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-16,0.009348823148188856,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-17,-0.008387259723644291,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-18,-0.00030928803471930166,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-20,-0.002181035215588878,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-23,0.009560655071259916,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-24,0.01106032861695816,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-25,-3.286108348987682e-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-26,0.00798813103251561,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-27,0.005205399256151821,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-06-30,0.005151137506128833,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-01,-0.0011191571098798647,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-02,0.004733874306490193,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-03,0.00830437821066532,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-07,-0.007893368104245013,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-08,-0.0007161432504698695,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-09,0.006043802776780183,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-10,0.002742441072925317,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-11,-0.0033029717732251385,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-14,0.0014064243309359625,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-15,-0.003964145065671332,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-16,0.003188568525382962,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-17,0.005359380240012257,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-18,-9.049030280827708e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-21,0.0013981570056724735,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-22,0.000637328496667422,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-23,0.007781532145703096,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-24,0.0006979799969322187,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-25,0.003966451001680582,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-28,0.00017684247126581454,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-29,-0.002963830197465711,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-30,-0.001250213938510214,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-07-31,-0.0037016620463745653,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-01,-0.01612138718556899,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-04,0.014629564491414726,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-05,-0.0048697037804625865,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-06,0.00725552221985204,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-07,-0.0007977981718276794,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-08,0.007769454816390464,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-11,-0.002507268393886264,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-12,0.011281559075172254,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-13,0.0032248733840454236,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-14,0.00030304487855481455,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-15,-0.0029013399163648756,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-18,-0.0001007682577363056,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-19,-0.005875329112207339,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-20,-0.00243463063226379,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-21,-0.004012219728950939,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-22,0.015072285158778342,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-25,-0.004275512539646087,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-26,0.004125473710116623,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-27,0.0023881304533031056,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-28,0.0031517474414659574,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-08-29,-0.006418740402793333,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-02,-0.00694635006103006,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-03,0.0050871123029416765,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-04,0.008311847102874026,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-05,-0.0031701726699377986,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-08,0.002103764450890111,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-09,0.0026845470300731478,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-10,0.002979028229397329,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-11,0.008450087623094404,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-12,-0.0004828778814278678,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-15,0.004695577726558042,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-16,-0.0012887604333311486,0.0,1.0,1.0,0.0,0.0,0.0,0.0
